Month	Year	YearAndMonth	WeightClass	Landings
11	2022	2022-11	10	62454.28
12	2022	2022-12	10	41163.3
11	2022	2022-11	11	57303.21
12	2022	2022-12	11	40487.01
11	2022	2022-11	20	46611.59
12	2022	2022-12	20	30190.81
11	2022	2022-11	30	4229.24
12	2022	2022-12	30	2770.35
1	2023	2023-01	10	19028.6
2	2023	2023-02	10	22940.69
3	2023	2023-03	10	7284.74
4	2023	2023-04	10	20384.12
5	2023	2023-05	10	29604.3
6	2023	2023-06	10	17884.77
7	2023	2023-07	10	5219.53
8	2023	2023-08	10	4158.54
9	2023	2023-09	10	10999.56
10	2023	2023-10	10	22094.02
11	2023	2023-11	10	24205.64
12	2023	2023-12	10	9125.33
1	2023	2023-01	11	12489.24
2	2023	2023-02	11	17127.46
3	2023	2023-03	11	4446.25
4	2023	2023-04	11	9240.52
5	2023	2023-05	11	13859.44
6	2023	2023-06	11	10866.52
7	2023	2023-07	11	2447.89
8	2023	2023-08	11	765.9
9	2023	2023-09	11	3940.65
10	2023	2023-10	11	17981.11
11	2023	2023-11	11	22714.36
12	2023	2023-12	11	7371.99
1	2023	2023-01	20	17405.73
2	2023	2023-02	20	20220.89
3	2023	2023-03	20	6172.93
4	2023	2023-04	20	15645.5
5	2023	2023-05	20	27851.03
6	2023	2023-06	20	21074.52
7	2023	2023-07	20	9273.81
8	2023	2023-08	20	10349.07
9	2023	2023-09	20	23859.51
10	2023	2023-10	20	21135.66
11	2023	2023-11	20	21339.77
12	2023	2023-12	20	6609.8
1	2023	2023-01	30	2059.87
2	2023	2023-02	30	2188.54
3	2023	2023-03	30	700.32
4	2023	2023-04	30	406.55
5	2023	2023-05	30	1567.17
6	2023	2023-06	30	1788.33
7	2023	2023-07	30	1696.75
8	2023	2023-08	30	2285.71
9	2023	2023-09	30	4448.13
10	2023	2023-10	30	3579.78
11	2023	2023-11	30	2795.86
12	2023	2023-12	30	748.2
1	2024	2024-01	10	6455.51
2	2024	2024-02	10	3066.68
3	2024	2024-03	10	6910.54
1	2024	2024-01	11	6139.65
2	2024	2024-02	11	2502.45
3	2024	2024-03	11	5764.91
1	2024	2024-01	20	5938.89
2	2024	2024-02	20	3166.2
3	2024	2024-03	20	5451.41
1	2024	2024-01	30	673.08
2	2024	2024-02	30	320.34
3	2024	2024-03	30	309.79
